id;FR;EN;zh;;;;;;;;;;;;;;;;;;;;;;
P1C1N;Base du combat;Combat Basics;;;;;;;;;;;;;;;;;;;;;;;
P1C2N;Petit prince;Little prince;;;;;;;;;;;;;;;;;;;;;;;
P1C3N;Menace;Threaten;;;;;;;;;;;;;;;;;;;;;;;
P1C4N;Amasser les Richesses;Amass riches;;;;;;;;;;;;;;;;;;;;;;;
P1C5N;Bain de Sang;Blood bath;;;;;;;;;;;;;;;;;;;;;;;
P1C6N;Calmer les Tensions;Calm things down;;;;;;;;;;;;;;;;;;;;;;;
P1C7N;Conseillés Royaux;Royal advisor;;;;;;;;;;;;;;;;;;;;;;;
P1C8N;Coup Bas;Low blow;;;;;;;;;;;;;;;;;;;;;;;
P1C9N;Dueliste Expérimenté;Experienced Duelist;;;;;;;;;;;;;;;;;;;;;;;
P1C10N;Forcer le respect;forceful respect;;;;;;;;;;;;;;;;;;;;;;;
P1C11N;Garde Royale;Royal guard;;;;;;;;;;;;;;;;;;;;;;;
P1C12N;Jusqu'à la Mort;Until death;;;;;;;;;;;;;;;;;;;;;;;
P1C13N;Mener la Charge;Lead the charge;;;;;;;;;;;;;;;;;;;;;;;
P1C14N;Mise à Mort;Execution;;;;;;;;;;;;;;;;;;;;;;;
P1C15N;Opprimer les Faibles;Oppress the weak;;;;;;;;;;;;;;;;;;;;;;;
P1C16N;Roi Sans Couronne;King without crown;;;;;;;;;;;;;;;;;;;;;;;
P1C17N;Seul Contre Tous;Alone against the world;;;;;;;;;;;;;;;;;;;;;;;
P1C1D;Inflige 60% FA et gagne un bonus de 10% de resistance aux dégats pour 1 tour;"Inflict 60 % of your fortitude to target opponent, gain a bonus of 10 % to damage resistance for 1 turn";;;;;;;;;;;;;;;;;;;;;;;
P1C2D;"Gagne 10 % Radiance max
10 % FA 
Dure 2 phase";"Gain 10 % Radiance max and 10 % fortitude, stay 2 phases";;;;;;;;;;;;;;;;;;;;;;;
P1C3D;"Applique a tout les adversaires le débuff  \""Febrile \""
 \""Fébrile \""Si le porteur est frappée par le guerrier, augmente les dégats de 20% et consomme le débuff, quand consommée crée un débuff  \""crainte \"" 
 \""Crainte \"" Réduit la radiance max de 7 % et la conviction de 2 du porteur.";"Apply to each opponent the debuff  \""feverish \""         \""Feverish\"" If the holder is hit by the player, increase by 20 % the damage and consumme the debuff, when is consume create a debuff   \""apprehension \""      \ ""apprehension \"" Reduce max radiance by 7% and conviction -2 of the holder";;;;;;;;;;;;;;;;;;;;;;;
P1C4D;"Applique a tous les ennemis  \""trone d'or \"" : Ponctionne 5% de Radiance actuelle à chaque adversaire au début de son Tour
et leur applique colere : +20% de chances d'effectuer une action offensive durant son tour";Apply to all opponent  \"Golden throne \" : Puncture 5 % of the actual radiance of each opponent at the beginning of hes turn and apply to them anger : +20% chances that they do an agressiv action during his turn;;;;;;;;;;;;;;;;;;;;;;;
P1C5D;"Applique hémorragie à un adversaire cible pendant 2T
Hémorragie : Perd 15% de sa Radiance actuelle au début de son Tour";Apply hemorrhage to an opponent during 2 turn         Hemorrhage : Lose 15 % of it's actual radiance at the beginning of his turn;;;;;;;;;;;;;;;;;;;;;;;
P1C6D;"Retire tous les désavantages de l'adversaire ciblé. Pour chaque désavantage retiré, vous applique  \""Bienfaiteur \"".
Bienfaiteur : +5% de Randiance Max.
Récupère 1% de Radiance au début de son Tour";"Withdraw every debuff of the selected opponent. For each debuff withdrraw that way, apply to you  \""benefactor \"".                          Benefactor :+5 % radiance max.     At the start of turn, heal 1% of radiance max.";;;;;;;;;;;;;;;;;;;;;;;
P1C7D;Vide votre tension totale et Vous applique  \"Savoir Primordial \" pour chaque palier de tension consommer;Consume your tension and apply to you  \"Primordial knowledge \" for each level of tension that you consumed;;;;;;;;;;;;;;;;;;;;;;;
P1C8D;"Inflige 60 % Fa à l'adversaire ciblé
Applique "" \ vulnérable \"" et  \""estropié \"" à l'adversaire ciblé
Vulnérable : Augmente les dégats subis de 20%.
Estropié : -50% de Vitesse.";Inflict 60 % of your fortitude to target opponent.          Also apply  \"vulnerable and crippled \".                     \"Vulnerable \"  : Increase the damage taken by 20 %           \"crippled \" : -50% speed;;;;;;;;;;;;;;;;;;;;;;;
P1C9D;Applique sur le joueur le buff  \"coup pour coup \" : Augmente la FA de 40 % du dernier dégat subit quand ce buff est appliquer;Apply on player the buff  \"blow for blow \" : Increase fortitude by 40 % of the last hit taken when this buff is applied.;;;;;;;;;;;;;;;;;;;;;;;
P1C10D;Applique  \"Sous pression \" a tous les ennemis;Apply  \"under pressure \" to all ennemies;;;;;;;;;;;;;;;;;;;;;;;
P1C11D;"Vous applique  \""protection raprochée \"" et applique  \""doute \"" à tous les adversaires 
Protection raprochée : Inflige 20% de sa Force d'Âme à tout adversaire effectuant une action offensive.
Doute : +10% de chances de ne pas faire d'action lors de son prochain tour";Apply to player   \"close protection \" and apply  \"doubt \" to each opponent                                       Close protection : Inflict 20% of his fortitude at any opponent who does an attack                                Doubt : +10 % chances to not do any action during the turn;;;;;;;;;;;;;;;;;;;;;;;
P1C12D;"Inflige 100% de votre Force d'Âme à l'adversaire ciblé. S'il survit, vous inflige 100% de sa Force d'Âme et vous applique  \""Soif de vengeance \""";"Inflict 100 % of your fortitude to target opponent. If he survive, he inflict 100% of his fortitude to you and apply to you  \""Thirst for vengeance \""                 Thirst for vengeance : Increase fortitude by 5 point for each % of missing radiance";;;;;;;;;;;;;;;;;;;;;;;
P1C13D;Inflige 80% de votre Force d'Âme et applique  \"Commotion \" à l'adversaire ciblé.;Inflict 80% of your fortitude to target opponent and apply him  \"Concussion \";;;;;;;;;;;;;;;;;;;;;;;
P1C14D;"Inflige 40% de votre Force d'Âme à l'adversaire ciblé; si la cible a moins de 20% de sa Radiance max, triple les dégats. Si ce coup lui est fatal, applique le désavantage  \""Stun \"" à tous les autres adversaires.";"Inflict 40 % of your fortitude to target opponent, if he has less than 20 % of his radiance max, triple the damage. If the damage kill him, apply  \""Stun \"" to each others opponent.";;;;;;;;;;;;;;;;;;;;;;;
P1C15D;Inflige 50% de votre Force d'Âme à l'adversaire ciblé pour chaque désavantages sur cet adversaire.;Inflict 50 % of your fortitude to target oppennet for each debuff it has.;;;;;;;;;;;;;;;;;;;;;;;
P1C16D;"Retire tous les avantages dont vous bénéficiez. Pour chaque avantage retiré, applique  \""Remords \"" à tous les adversaires.
Remords : -10% de dégâts infligés.";"Withdraw every buff that you have. For each buff withdraw that way, apply  \""Remorse \"" to each opponent             Remorse : Fortitude -10%";;;;;;;;;;;;;;;;;;;;;;;
P1C17D;"Inflige 100% de votre Force d'Âme divisé équitablement entre tous les adversaires et leur applique  \""Crainte \""
Crainte : Radiance -5 % et conviction -2";"Inflict 100% of your fortitude divided into all opponent, also apply to them   \""apprehension \""                         Apprehension : Radiance -5% and conviction -2";;;;;;;;;;;;;;;;;;;;;;;
B1N;Base du combat;Combat Basics;;;;;;;;;;;;;;;;;;;;;;;
B2N;Sang royal;Royal blood;;;;;;;;;;;;;;;;;;;;;;;
B3N;Bienfaiteur ;Benefactor;;;;;;;;;;;;;;;;;;;;;;;
B4N;Coup pour coup;Blow for blow;;;;;;;;;;;;;;;;;;;;;;;
B5N;Protection raprochée ;Close protection;;;;;;;;;;;;;;;;;;;;;;;
B6N;Soif de vengeance;Thirst for revenge;;;;;;;;;;;;;;;;;;;;;;;
B7N;Trone d'or;Golden throne;;;;;;;;;;;;;;;;;;;;;;;
B8N;Savoir primordial;Vital knowledge;;;;;;;;;;;;;;;;;;;;;;;
B9N;Semer la discorde;Sow discord;;;;;;;;;;;;;;;;;;;;;;;
B10N;Bien nourri;Well fed;;;;;;;;;;;;;;;;;;;;;;;
B11N;Ventre plein;Belly full;;;;;;;;;;;;;;;;;;;;;;;
B12N;Puanteur insoutenable;Unbearable stench;;;;;;;;;;;;;;;;;;;;;;;
B13N;Endurcire;Harden;;;; ;;;;;;;;;;;;;;;;;;;
B14N;Fausse note;Bum note;;;;;;;;;;;;;;;;;;;;;;;
B15N;Alienation;Alienation;;;;;;;;;;;;;;;;;;;;;;;
B16N;Vraie Foi;True faith;;;;;;;;;;;;;;;;;;;;;;;
B17N;Bon Vivant;Bon vivant;;;;;;;;;;;;;;;;;;;;;;;
B18N;Calme guerrier;Warrior's calm;;;;;;;;;;;;;;;;;;;;;;;
B1D;Dégats subis -10%;Take 10% less damage;;;;;;;;;;;;;;;;;;;;;;;
B2D; FA +10 % et +10 % radiance max;"Fortitude +10 %,  +10% Radiance max";;;;;;;;;;;;;;;;;;;;;;;
B3D;Randiance Max +5%. Récupère 1% de Radiance au début de son Tour;"Radiance max +5%, heal 1% of radiance max at the beginning of your turn.";;;;;;;;;;;;;;;;;;;;;;;
B4D;Augmente la Force d'Âme de la valeur de 40 % du dernier dégât subi quand ce buff est appliquer.;Increase fortitude by 40 % of the last hit taken when this buff is applied.;;;;;;;;;;;;;;;;;;;;;;;
B5D;Inflige 20% de sa Force d'Âme à tout adversaire effectuant une action offensive;Inflict 20% of fortitude to each attacking opponent.;;;;;;;;;;;;;;;;;;;;;;;
B6D;Augmente de 5 points la Fôrce d'Âme pour chaque pourcentage de Radiance manquant;Increase fortitude by 5 point for each % of missing radiance;;;;;;;;;;;;;;;;;;;;;;;
B7D;Ponctionne 5% de la radiance actuelle de chaque adversaire au début de son  tour;Puncture 5 % of the actual radiance of each opponent at the beginning of his turn.;;;;;;;;;;;;;;;;;;;;;;;
B8D;Force d'ame +20 % ;Fortitude +20%;;;;;;;;;;;;;;;;;;;;;;;
B9D;"Vitesse +3, clairvoyance +3, conviction +3";"Speed +3, clairvoyance +3, conviction +3";;;;;;;;;;;;;;;;;;;;;;;
B10D;Force d'ame +20 % ;Fortitude +20%;;;;;;;;;;;;;;;;;;;;;;;
B11D;resi +1  par tour;Resilience +1 each turn;;;;;;;;;;;;;;;;;;;;;;;
B12D;"Fa+ 30%, vitesse -5";"Fortitude +30 %, speed 5.";;;;;;;;;;;;;;;;;;;;;;;
B13D;"Quand est frapper, inflige 30 % de sa Fa au frappeur";"When is hit, inflict 30 % of his fortitude to the hitter";;;;;;;;;;;;;;;;;;;;;;;
B14D;Resilience +1;Resilience +1;;;;;;;;;;;;;;;;;;;;;;;
B15D;" vitesse +5, augmente les dégats subit de 20 %";"Speed +5, increase damage taken by 20%";;;;;;;;;;;;;;;;;;;;;;;
B16D;" Force d'ame +10%, Conviction +1";"Fortitude +10%, conviction +1";;;;;;;;;;;;;;;;;;;;;;;
B17D;Resilience +3;Resilience +3;;;;;;;;;;;;;;;;;;;;;;;
B18D;Consomme toute la tension pour gagner 15 % FA par palier consommé;"Consume all of tension, gain 15% of fortitude for each level consume";;;;;;;;;;;;;;;;;;;;;;;
D1N;Crainte;Apprehension;;;;;;;;;;;;;;;;;;;;;;;
D2N;Doute;Doubt;;;;;;;;;;;;;;;;;;;;;;;
D3N;éstropié;Crippled;;;;;;;;;;;;;;;;;;;;;;;
D4N;Fébrile;feverish;;;;;;;;;;;;;;;;;;;;;;;
D5N;étourdis;Stun;;;;;;;;;;;;;;;;;;;;;;;
D6N;Remord;Remorse;;;;;;;;;;;;;;;;;;;;;;;
D7N;Odeur de carcasse;Odor of carcass;;;;;;;;;;;;;;;;;;;;;;;
D8N;Dégout;Disgust;;;;;;;;;;;;;;;;;;;;;;;
D9N;Saignement;Bleed;;;;;;;;;;;;;;;;;;;;;;;
D10N;Assomé;shacky;;;;;;;;;;;;;;;;;;;;;;;
D11N;Intouchable;Untouchable;;;;;;;;;;;;;;;;;;;;;;;
D12N;Moins que rien;Less than nothing;;;;;;;;;;;;;;;;;;;;;;;
D13N;Inculquer le respect;Inculcate respect;;;;;;;;;;;;;;;;;;;;;;;
D14N;Heretique;Heretic;;;;;;;;;;;;;;;;;;;;;;;
D15N;Vulnérable;Vulnerable;;;;;;;;;;;;;;;;;;;;;;;
D16N;Commotion;Concution;;;;;;;;;;;;;;;;;;;;;;;
D17N;Colère;Anger;;;;;;;;;;;;;;;;;;;;;;;
D1D;"Radiance -5 %, conviction -2";"Radiance -5%, conviction -2";;;;;;;;;;;;;;;;;;;;;;;
D2D;Radiance -7%;Radiance -7%;;;;;;;;;;;;;;;;;;;;;;;
D3D;chances de 10% de ne pas faire d'action lors de son prochain tour;There is 10 % chance that the opponent will lost it's action at the beginning of his turn;;;;;;;;;;;;;;;;;;;;;;;
D4D;"Augmente les dégats de 20% de la prochaine frappe, puis le consomme et applique ""crainte""";"Increase by 20 % the damage of the next hit, then consume the debuff and apply ""apprehension""";;;;;;;;;;;;;;;;;;;;;;;
D5D;Ne peut pas effectuer d'action durant son Tour.;Can not do any action during it's turn;;;;;;;;;;;;;;;;;;;;;;;
D6D;Force d'ame -10%;Fortitude -10%;;;;;;;;;;;;;;;;;;;;;;;
D7D;Soin -50%;Heal -50%;;;;;;;;;;;;;;;;;;;;;;;
D8D;Conviction -2;Conviction -2;;;;;;;;;;;;;;;;;;;;;;;
D9D;Perd 2 % de radiance max au début de son tour;Loose 2% of radianxe max at the beginning of his turn;;;;;;;;;;;;;;;;;;;;;;;
D10D;"Vitesse -3, clairvoyance -3";"Speed-3, clairvoyance -3";;;;;;;;;;;;;;;;;;;;;;;
D11D;Radiance -5 % Force d'ame -5%;"Radiance 5%, fortitude -5%";;;;;;;;;;;;;;;;;;;;;;;
D12D;"Quand il meurt, ne laisse pas d'essence";"When he dies, he will not drop essence.";;;;;;;;;;;;;;;;;;;;;;;
D13D;Conviction -2 pour tout le combat;Conviction -2 for the whole fight;;;;;;;;;;;;;;;;;;;;;;;
