ID;FR;EN;ZH
CombatStartUniversel;Lancer le combat;Start the fight;开始战斗
TutoContinue;Continuer;Continue;继续
TutoAutel1;les trois sorts de base, on débloquera d'autres par la suite achetables contre de l'essence;the three basic spells, we’ll unlock others later purchasable with souls crystal;三个基本咒语，其他咒语将在以后解锁，可用灵魂水晶购买
TutoAutel2;le nombre d'essence qu'on as actuellement sur sois, récupérable en tuant des adversaires;the number of souls crytals you currently have on you, recoverable by killing opponents;当前身上的灵魂水晶数量，可通过击杀对手恢复
TutoAutel3;la description de la compétence sélectionné;the description of the selected skill;所选技能的描述
TutoAutel4;les stats actuelle, et les modifications apportées par la compétence;current stats, and changes made by the skill;当前状态，以及技能带来的变化
TutoAutel5;le cout en essence d'une compétence pour la debloquer;the cost of a skill to unlock it;解锁技能所需的费用
TutoAutel6;le bouton d'achat;the buy button;购买按钮
TutoPerso1;Observateur;Watcher;
TutoPerso2;Premier observateur;First watcher;
TutoPerso3;Second observateur;Second watcher;
TutoPerso4;Cristaux d'essence;Soul shards;
TutoQ1;En voilà encore un! Décidément, c’est une journée chargée. J’espère que celui-ci ne posera pas problème…;Here comes another one ! Look like it will be a long day... I hope that one will not be a problem...;又来了一个 看来今天会很漫长... 我希望这个不会有问题...
TutoQ1R1;[ reprendre vos esprits ];[Come back to your sense];[回过神来]
TutoQ2;Tu m’as l’air d’être dans un piteux état, ta mort semble avoir été violente, laisse moi arranger ça.;You seems to be in a deplorable state, your death must have been violent, let me help you;你的情况很糟糕 你一定是死于暴力，让我来帮你吧
TutoQ2R1;Mort!? On est où!? Et t’es qui au juste!?;Death ?! Where are we ?! And who are you !;死亡 我们在哪儿 你又是谁
TutoQ3;Morts, nous le sommes tous. Et pour te répondre: je suis l’observateur qui t’a été attribué.;Dead, we are all here, so are you, and to answer your question, i am the observer that has been atributed to you;死神，我们都在这里，你也在这里，回答你的问题，我就是你的观察者
TutoQ3R1;Donc je suis mort, toi aussi, et tu es là pour me chaperonner, c’est ça?;So...I am dead, you too, and you are here to chaperone me, is that right ?;所以......我死了，你也死了，你是来陪我的，对吗？
TutoQ4;"Pas vraiment. Je suis là pour suivre ton parcours mais je dois rester neutre, c’est mon rôle.
";Not really, i am here to follow your journey, but i must stay neutral, that is my role;不尽然，我是来追随你的旅程的，但我必须保持中立，这是我的职责所在
TutoQ4R1;Neutre? Tu viens de dire que tu allais m’aider, ça ne fait aucun sens!;Neutral ? But you said you where gonne help me ? That doesnt make any sense !;中立？可你说你会帮我？这说不通啊！
TutoQ5;Je vais arranger ça, pas t’aider. C’est d’ailleurs la première et dernière fois, ensuite tu devras t’en sortir seul.;I will arrange that, not help you. It will be the first and last time, then you will be on your own,;我会 安排，而不是帮你。这将是第一次，也是最后一次，然后你就得靠自己了、
TutoQ5R1;"Mais m’arranger quoi à la fin!?
";But arrange what ?!;安排什么
TutoQ6;Cette lumière intérieure, cette Radiance, est la seule chose qui te permet de prendre forme ici. Comment te sens tu à présent?;That light into you, it's your radiance, it's the only thing that allow you to have a substance here, how are you feeling now ?;你身上的光是你的光芒 是你在这里唯一的物质 你现在感觉怎么样？
TutoQ6R1;Mieux… enfin je crois.;Better...I think.;好多了......我想。
TutoQ7;Tu dois y faire attention, sinon ton âme retournera dans le grand cycle et qui sait combien de temps tu y resteras.;You will have to take care of it, or your soul will return to the great cycle, and who knows how many time you will stay there.;你得好好照顾它 否则你的灵魂会回到大轮回 谁知道你会在那里呆上多少时间呢
TutoQ7R1;"Pour rester mort, je ne dois pas mourir à nouveau. C’est bien joli mais dans quel but exactement?
";To stay dead, i must not die again...It's cute but what is the goal of that ?;为了不死，我就不能再死......这很可爱，但这样做的目的是什么？
TutoQ8;"Ce but, à toi de le trouver; chacun doit traverser le Passage à sa manière. Si je ne peux te guider, je peux cependant te montrer. Prends ça et suis moi.
";That goal, it's you who must find it, each person must cross the path with he's own way. If i can't guide you, i can however show you. Take that and follow me;这个目标必须由你自己去寻找，每个人都必须以自己的方式穿过这条路。如果我不能指引你，但我可以告诉你。带着它跟我来吧
TutoQ8R1;"Si je suis mort, à quoi pourrait bien me servir un vieux parchemin?
";If i am dead, what use do I have in an old parchment ?;如果我死了，一张旧羊皮纸还有什么用？
TutoQ9;Ce vieux parchemin te permettra de ne pas te perdre sur le chemin de ta prochaine vie. Avance jusqu’à la prochaine étape, je dois encore te montrer certaines choses.;That old parchment will allow you to not be lost on the way to your next life. Move to the next stage, I must still show you a few things.;那张 旧羊皮纸 会让你在通往下辈子的路上不再迷失方向。进入下一阶段，我还必须告诉你一些事情。
TutoQ10;En ce lieu, tu rencontreras d’autres âmes errantes. Si je te recommande de trouver des solutions pacifiques, tu peux également confronter ta Force d'ame à la leur.;In this place, you will meet other wandering souls. I recommend you to find pacific solution with them, but you can also confront your soul strengh with them;在这个地方，你会遇到其他的游魂。我建议你与他们和平相处，但你也可以与他们对抗你的 毅力/灵魂力量。
TutoQ10R1;"Confronter nos âmes ? Si tu parles d’un combat, qu’adviendrait-il du perdant ?
";Confront our souls ? If you talk about a fight, what happend to the looser ?;对抗我们的灵魂？如果你说的是一场战斗，那么失败者会怎样？
TutoQ11;Exactement comme un combat, oui. Souhaites-tu voir ce qui arriverait à cette âme errante en cas de défaite ?;Just like a fight yes, do you wish to see what will happend to this soul if it where defeated ?;就像打架一样，是的，你想看看如果这个灵魂被打败了会怎么样吗？
TutoQ11R1;"Si je t’ai posé la question, ce n’est pas pour rien. Vas y, montre moi !
";If i asked you, it's for a reason, come on show me !;如果我问你，那是有原因的，来吧，给我看看！
TutoQ11R2;"Euh, attends, explique moi d’abord ce que tu comptes faire.
";Wait...Explain to me first what you are going to do;等等......先给我解释一下你要做什么？
TutoQ12;La patience ne semble pas être ta plus grande qualité… Ici comme dans tes précédentes vies, tes choix ont des conséquences, tu devrais faire attention.;Patience does not seems to be one of your qualities...Here like in your past lifes, your choices have consequences, you will have to take care.;耐心似乎不是你的特质之一......在这里，就像你过去的生活一样，你的选择会带来后果，你必须小心。
TutoQ12R1;Des conséquences ?;Consequences ? Like what ?;后果？什么后果？
TutoQ13;"Rester dans ce lieu doit te permettre de devenir meilleur, tu dois faire attention et prendre Conscience des conséquences de tes actes passés comme futures.
";Staying in this place allow you to grow better, you must take care and realise the consequences of your past action, just like the future one.;呆在这个地方能让你更好地成长，你必须小心谨慎，并意识到你过去的行为所带来的后果，就像你将来的行为一样。
TutoQ13R1;"Pas la peine de me sermonner, j’assume pleinement mes actes et mes paroles.
";No need to lecture me, I stand by every act and word of mine.;没必要对我说教，我坚持我的一言一行。
TutoQ14;"Alors tu assumeras également leurs conséquences sur ce qu’il reste de ton âme.
";So you will also shoulder the consequences on what is left of your soul;所以，你也要承担你的灵魂所剩无几的后果。
TutoQ14R1;"Mes actes seront donc observés et jugés ?
";My actions will be judged and observed ?;我的行为会受到审判和监督？
TutoQ15;Tu fais preuve de discernement, c’est tout à ton honneur. Les choix que nous faisons ont toujours des conséquences, cette vérité semble évidente pour toi.;You seems to have some discernment, it's will be useful here. The choice that we make always have consequences, this truth seems obvious enough for you.;你似乎有一些辨别力，这在这里会很有用。我们所做的选择总是有后果的，这个道理对你来说似乎很明显。
TutoQ15R1;"Tu sembles surpris. Pourtant ça ne me semble pas si compliqué.
";You seems surprised. It's not a concept so hard to grasp.;你似乎很惊讶。这并不是一个很难理解的概念。
TutoQ16;Très peu d’âmes réussissent à prendre si rapidement Conscience des implications qu’ont leurs actes en ces lieux, c’est assez rare pour être souligné.;Very few souls become conscious  of the consequences of the actions they do in this place so quickly, it's rare enough to be noted;很少有灵魂能这么快就意识到他们在这里所做行为的后果，这一点非常罕见，值得注意。
TutoQ16R1;"Tu es donc là pour me guider et veiller à ce que j’agisse avec clairvoyance ?
";So you are here to guide me, and be sure I act with perspicacity ?;那么你是来指导我，确保我的行为是明智的？
TutoQ17;Je suis surtout là pour te montrer la réalité de ce Passage. Tu as fait un choix empreint de bonté, mais tu ne pourras pas toujours éviter de te salir les mains, c’est ainsi.;I am here to show you the truth about this passage. You did a kind gesture, but you will not always be able to not dirty your hand, this is how it is here.;我是来告诉你这段话的真相的。你做了一个善意的举动，但你不可能永远不弄脏你的手，这里就是这样。
TutoQ17R1;"Je vois. Faire les bons choix ne sera pas suffisant, c’est ce que tu essayes de m’expliquer ?
";I see... Do the right choice will not always be enough, is that's what you are trying to tell me ?;我明白了 做正确的选择并不总是足够的，这就是你想告诉我的吗？
TutoQ18;Tu auras la réponse à ta question en temps voulu. En attendant, tu vois ce qu’il reste de cette pauvre âme errante?;You will have your answer in due time. Meanwhile, do you see what is left of this poor wandering souls ?;你会在适当的时候得到答案的 同时，你看到这些可怜的游魂还剩下什么了吗？
TutoQ18R1;Tu parles de ces cristaux ?;Are you talking about those crystal ? What about it ?;你是在说那些水晶吗？是什么？
TutoQ19;Ces cristaux, c’est ce qu’il reste d’une âme une fois réduite à son état primaire : son Essence. Prends les et garde les avec le plus grand respect, n’oublie pas d’où ils viennent.;Those Crystal is what is left of a souls once it's reduced to it's primal form, the essence. Take it and keep them with utmost respect, do not forget where they come from.;那些 水晶 是灵魂还原到最原始的形态后剩下的东西，也就是灵魂的本质。拿着它，以最崇高的敬意保存它们，不要忘记它们来自何方。
TutoQ19R1;[ prendre les cristaux d’Essence ];Take the souls crystal;拿走灵魂水晶
TutoQ20;Cependant, tu ne vas pas garder ces cristaux éternellement. Avançons, que je puisse te montrer comment rendre un dernier hommage à ces âme fragmentées.;Nontheless, you will not keep them eternally. Let's move on, so I can show you how to make a last tribute to those fragmented souls.;尽管如此，你也无法永远保存它们。让我们继续前进，让我来教你们如何向那些支离破碎的灵魂致以最后的敬意。
TutoQ21;Ces Autels étaient là bien avant nous et tout ce que l’on sait à leur sujet c’est qu’elles permettent de renvoyer dans le grand cycle les fragments d’âme contenus dans les cristaux.;These altars where there long before us, and all we know about them is that they allow to bring back into the great cycle the souls contained into the crystals;这些祭坛早在我们之前就存在了，我们只知道它们能让水晶中的灵魂回到大轮回中去
TutoQ22;En échange, cette statue a la faculté de raviver ta mémoire. Pour le moment, tu n’es que l’ombre de tes existences passées. Il est temps de récupérer la force qui était tienne.;In exchange, this statue has the abilities to revive some of your memories. For now you are naught but a shadow of your path existence. It's time for you to bring back the strengh that was yours.;作为交换，这座雕像有能力唤醒你的部分记忆。现在，你只是你人生道路上的一个影子。是时候让你找回曾经的力量了。
TutoQ23;"Parfait ! Prends le temps qu’il te faut, explore ta mémoire. Tu n’auras qu’à me dire quand tu seras prêt.
";Perfect ! Take all the time you need to explore your memories. Just tell me when you are ready.;完美 ！你可以尽情探索你的记忆。准备好了就告诉我。
TutoQ23R1;Je suis prêt !;I am ready !;我准备好了！
TutoQ24;"Ha ! J’apprécie ton enthousiasme, tu me plais ! Mais avant de partir, prends ces nouvelles aptitudes avec toi.
";Ha ! I appreciate your enthusiasm, I like you ! But before you go, keep those new abilities with you,;哈！我很欣赏你的热情 我喜欢你 但是在你走之前 把这些新能力带在身边
TutoQ24R1;C’est fait ! On peut y aller ?;It's done ! Can we go now ?;搞定了 我们可以走了吗？
TutoQ25;Tu vas avoir l’occasion de retrouver tes sensations : j’ai l’impression que quelqu’un t’attend avec impatience et a hâte de régler ses comptes avec toi.;Don't worry, you will have the occasion to find again your sense : It seems that someone here is waiting for you impatiently, he seems to want to have a word with you...;别担心，你会有机会重新找回你的感觉的：这里似乎有人在等你等得不耐烦了，他似乎想和你说几句话......
TutoQ26;"Certaines âmes errantes ont un lien particulier avec toi et tes vies passées. Ce sera l’occasion de vous expliquer et faire table rase du passé… Enfin, si tu y mets un peu du tiens.
";Some wandering souls have a connection with you and your past lifes. It will be an occasion to explain yourself and make anew of the past...If you do your part.;有些游魂与你和你的前世有关。这将是一个解释自己、重新认识过去的机会......只要你做好自己的本分。
TutoQ26R1;Je n’ai aucune idée de qui est cet homme… Eh toi ! Tu me veux quoi au juste ?;I have no idea who this man is... Hey you ! What do you want from me ?!;我不知道这个人是谁... 喂 你想从我这儿得到什么？
TutoQ27;"J’imagine que c’est ta façon d’aborder une discussion calme… Mais je doute qu’il soit en état de te répondre, il a l’air mal en point.
";I suppose this is your idea of how to have a calm discussion...But I doubt he will be able to answer you, he seems to be in very poor shape.;我想这就是你所说的冷静讨论吧......但我怀疑他能不能回答你，他看起来状态很差。
TutoQ27R1;Du coup, qu’est-ce qu’on fait ? Un petit coup de parchemin et on en parle plus ?;So what do we do ? A little parchmin hit and that's it ?;那我们该怎么办？打一顿就完事了？
TutoQ28;"Pas cette fois, je regrette, il est hors de question que je salisse mon uniforme. A toi d’utiliser tes compétences pour t’en débarrasser.
";Not this time, i am sorry, I will not put dirt on my uniform. Use your knew skills to get rid of him.;这次不行，对不起，我不会把脏东西弄到制服上的。用你的技能干掉他。
TutoQ29;Utiliser tes compétences te demandera de la Volonté et parfois de la Conscience.;Using your skills will ask you to have willpower, and sometime conscious.;使用技能需要意志力，有时还需要意识。
TutoQ30;La première règle d’un affrontement est: chacun son tour. N’oublie pas d’indiquer aux autres âmes quand ton tour est fini.;The first rule of a fight is : you each take turn. Do not forget to tell the other souls when your turn is over.;战斗的第一条规则是：轮流上场。轮到你时，不要忘记告诉其他灵魂。
TutoQ31;La seconde règle d’un affrontement est: plus tu es rapide, plus tu as l’initiative. Tout dépendra donc de ta Vitesse.;The second rule is : The faster you are, the faster you will be able to act. Everything will depend from your speed.;第二条规则是 ： 速度越快，行动就越快。一切都取决于你的速度。
TutoQ32;"L’avantage de ces règles, c’est de te permettre de récupérer un peu et d’avoir à nouveau toute ta Volonté au début de ton tour. Tu te sens prêt ?
";The advantages of those rules is that you will be able to recover a bit, and have all of your willpower at the beginning of your next turn, are you ready ?;这些规则的好处是，你可以稍作恢复，并在下一回合开始时拥有全部意志力，准备好了吗？
TutoQ32R1;On va bien voir, laisse moi faire !;We shall see, let me do it !;让我们拭目以待吧
TutoQ33;"Certaines compétences nécessitent d’avoir une cible pour être utilisées.
";Some skills must have a target to be used;有些技能必须有目标才能使用
TutoQ34;Faire du mal à une autre âme augmentera sa Tension, une fois au maximum elle aura un deuxième tour.;Hurting a souls will increase it's tension, once it reach the maximum, it will have a second turn;伤害灵魂会增加它的紧张度，一旦达到最大值，它就会有第二个回合。
TutoQ35;"Tu n’es pas obligé de seulement frapper, tu peux aussi te renforcer. Tu devrais essayer !
";It's not mandatory to only hit, you can also strengthen yourself, you should try it !;并不是一定要打，你也可以强化自己，你应该试试！
TutoQ36;"Dans ces circonstances, tu as aussi le droit d’être tendu. Si ta Tension atteint son maximum, tu auras un second tour.
";In those circonstance, you also have the right to be tense. If your tension get to the max, you will have a second turn !;在这种情况下，你也有权紧张。如果你的紧张达到了极致，你就会有第二次机会！
TutoQ37;Toutes mes félicitations, tu t’en es bien sorti ! Mais il me reste une dernière chose à te montrer.;You have my congratulation ! You did well ! But there is still one last thing that I must show you.;我向您表示祝贺！你做得很好！但还有最后一件事我必须告诉你。
TutoQ37R1;Laisse moi le temps de ramasser son Essence et je suis à toi !;Let me the time to pick he's essence and i am yours.;给我时间去采摘他的精华，我就是你的了。
TutoQ38;"Tu sais déjà que ces cristaux peuvent être rendus au grand cycle, mais il en existe une autre utilisation, un peu moins… Enfin, un peu plus…
";You already know that those crystal can be brought back to the great cycle, but there is another use...A little less... A bit more...;你已经知道那些水晶可以带回大循环，但还有另一种用途......少一点...... 多一点...
TutoQ38R1;Crache le morceau, on a pas toute la journée !;Come on say it ! We don't have all days !;说吧！我们没有那么多时间！
TutoQ39;"Oui bon ça va, j’y viens ! Tu peux les utiliser pour restaurer ta Radiance, mais c’est tout à fait égoïste et très peu respectueux de faire ça, il faut en être conscient !
";Okay okay im on it ! As i was saying, you can use them to restore some radiance, but it's very selfish and not respectful to do that, you must be aware of that !;好了好了，我这就去！就像我刚才说的，你可以用它们来恢复一些光彩，但这样做是非常自私的，也是不尊重人的，你必须意识到这一点！
TutoQ39R1;Egoïste ? Ils sont à moi ces cristaux non ? J’en fais ce que bon me semble.;Selfish ? They are mine those crystal aren't they ? I do what I want with them.;自私？它们是我的水晶，不是吗？我想怎么做就怎么做。
TutoQ40;"On peut voir les choses comme ça, effectivement… Mais saches que la seule façon qu’auront ces résidus d’âmes pour retourner au grand cycle sera la disparition de leur hôte.
";You can see it that way... But i'll let you know that the only way these soul will return to the grand cycle, is with the disappearence of they're host.;你可以这么看... 但我要告诉你 只有宿主消失了 这些灵魂才能回到大循环中去
TutoQ40R1;"Je ne compte pas disparaître de si tôt, ils vont devoir se montrer patients.
";I do not intend to disapear so soon. They will have to be patient.;我不打算这么快消失 他们得耐心等待
TutoQ41;"Bien, tu sembles déterminé. Fais donc ton choix. Mais garde à l’esprit que tu pourrais aussi en consommer durant un affrontement, mais pour une fraction de l’effet. Cependant, ça pourrait te sortir d’une mauvaise passe, qui sait.
";Okay, you seem determined. Make your choice. But keep in mind, you can also consume them during a fight, but for a fraction of the effect. But it could help you get through a hard time, who knows.;好吧，看来你下定决心了 做出你的选择吧 但要记住，你也可以在战斗中吃掉它们，不过效果会差一点。但它能帮你度过难关，谁知道呢。
TutoQ42;Oh ! Tu as été chanceux ! Il arrive parfois qu’on tombe sur des Souvenirs perdus, c’est le genre de chose qu’on garde précieusement.;Oh ! You have been lucky ! It happends sometime that we get a lost memory, it's the kind of things we keep preciously.;哦，你很幸运！有时我们会失去一段记忆，那是我们珍爱的东西。
TutoQ43;"Mais attends… C’est bien trop tôt pour que tu sois capable d’encaisser un tel Souvenir, ça risquerait d’avoir de graves conséquences sur ta traversée !
";But wait... It's way too soon for you to be able to handle such a memory, it can have great consequences on your journey !;但等等... 对你来说，现在处理这样的记忆还为时过早，它会给你的人生旅途带来很大的影响！
TutoQ43R1;"Moi je le trouve très bien ce souvenir. En plus, il est à moi, je ne te demande pas ton avis !
";I find it very nice this memory. And it's mine ! I didn't ask your permission !;我觉得这段回忆很美好 这是我的记忆 我没征求你的同意！
TutoQ44;"Navré, mais c’est mon rôle de veiller au bon déroulement du cycle. Je réquisitionne donc ce Souvenir, c’est pour ton bien, crois moi !
";I am sorry, but this is my role to take care of the good conduct of the cycle, I requisition this memory, it's for you own good, believe me !;我很抱歉，但这是我的职责，我征用这段记忆是为了你好，相信我！
TutoQ44R1;"Je sais reconnaître une arnaque quand j’en vois une… Mais avec ou sans ce truc, je vais réussir, alors garde le si tu y tiens tant !
";I know a scam when i see it... But with or withtout that thing, i will do it, so keep it if it's so meaningful for you !;我一看就知道是骗局...... 但不管有没有那东西，我都会去做，如果对你有意义，就留着吧！
TutoQ45;"C’est là que nos routes se séparent. Je parie que tu en avais assez de m’avoir dans les parages, pas vrai ?
";This is where our road split. I feel like you have enough of me babling like that, am I right ?;这就是我们的分道扬镳之处。我觉得你已经听够我这样喋喋不休了，对吧？
TutoQ46;"En tout cas, ça faisait longtemps qu’une visite n’avait pas été si animé haha !
Essaye de ne pas trop mettre le bazard lors de ton séjour ici.
";But, it's been a long time since a visit have been so animated haha ! Try not to do to much chaos during your journey here.;不过，我已经很久没有这么生动了，哈哈！在这里的旅途中，尽量不要太混乱。
TutoQ46R1;Je vais faire mon p…;I will do what i ca...;我会尽我所能...
TutoQ47;"Je peux savoir ce qu’il se passe ici ?
Oh, je vois… Ne me dit pas que tu fais encore du bénévolat à aider un pauvre bougre sans le moindre potentiel…";What is going on here ? Oh.... I see, you have been doing some volunteering again, helping a poor souls without any potential...;这是怎么回事？Oh.... 我明白了，你又在做志愿者了，帮助那些没有任何潜能的可怜人......
TutoQ47R1;"Attends, c’est de moi qu’il parle là !?
";Wait, are you talking about me ?! ;等等，你是在说我吗？
TutoQ48;"Alors, déjà, non, il a plus de potentiel que le dernier, ne serait-ce qu’un peu ! Et ensuite, j’accomplis ma mission. Tu sais, parler aux âmes perdues, tout ça tout ça…
";First of, no, he has more potential than the last one, even if it's just a little bit ! And second, I do my mission, you know, talk to the lost souls and all that...;首先，不，他比上一个更有潜力，哪怕只是一点点.....！其次，我在完成我的任务，你知道的，和那些迷失的灵魂交谈什么的......
TutoQ48R1;"Vous avez décidé de faire comme si je n’étais pas là, c’est ça !?
";You decide to do as if i was not there ? That's it ?!;你决定当我不存在？就这样？
TutoQ49;"LEUR PARLER !? Après plusieurs milliers d’années tu n’arrives toujours pas à comprendre qu’on doit rester à distance et les observer !? 
On va encore avoir des problèmes…";TALK TO THEM !? After thousand of years  you still do not understand that we must stay distant and observe them !? We will have problem again...;就这样？几千年了，你还不明白 我们必须保持距离，观察他们？我们还会有麻烦的......
TutoQ49R1;Attendez ! Comment ça des milliers d’années !?;Wait ! What do you mean thousand of years  !?;等等 你说 一千年 是什么意思？
TutoQ50;Je suis désolé, je ne voulais pas t’attirer d’ennuis… Mais tu sais comme je suis, c’est plus fort que moi…;I am sorry... I didnt want to bring any trouble...You know how i am, it's stronger than me.;对不起... 我不想给您添麻烦......您知道我的脾气，比我强多了。
TutoQ51;"
Oui, tu as bon coeur, parfois un peu trop si tu veux mon avis.";Yes, you have a good hearth, a little too much if you want my opinion;是的，你的炉灶很好，如果你想听我的意见，那就有点过分了。
