ID;FR;EN;ZH
TutoQ51R1;Arrêtez de m’ignorer !;Stop ignoring me !;别再无视我了！
TutoQ52;Oh mince ! Désolé que tu aies dû assister à cette scène, jeune âme errante…;Oups, sorry that you had to assist to this scene, young lost soul...;Oups，很抱歉你不得不协助这一幕，迷失的年轻人......
TutoQ53;Tu ne vas quand même pas t’excuser ! C’est une âme errante, alors qu’elle retourne errer ! Du balais !;You will not make excuse to him ! He is a wandering souls, go back to wander ! Get out of the way !;你不能给他找借口！他是个游魂，回去游荡吧！让开！
TutoQ54;J’ai perdu assez de temps avec vous deux, mais la prochaine fois, tu ferais mieux de tenir ta langue, avorton.;I lost enough time with you two, but next time, you should keep your mouth shut, little runt;和你们俩在一起我耽误的时间够多了，不过下次你该闭上嘴巴了，小矮子
TutoQ55;Tu es content ? On va penser que nous n’avons aucun savoir vivre…;Are you happy ? He will think that we have no manners;你高兴了？他会认为我们没有礼貌
TutoQ56;J’y suis peut-être allé un peu fort, je dois l’admettre… Il avait l’air particulièrement simple à énerver celui-là, je sens qu’il va causer des problèmes.;...I was a bit brutal, i must admit...But nontheless, he seems pretty easely to anger... I sense that he will be a problem in the future.;......我必须承认，我是有点粗暴......不过，他似乎很容易生气...... 我觉得他将来会是个麻烦。
CombatE1N1I;Bienvenue à toi mon fils ! Le royaume de notre seigneur te tend les bras, tu peux te reposer à présent !;Welcome my child! You are in the Lord's realm. You may rest in peace here.;欢迎你，我的孩子！你来到了上帝的国度。你可以在此安息
CombatE1N1RJ1;S'il y a un seigneur en ces lieux, je souhaite le rencontrer. Mène moi à ton roi.;Take me to this lord of yours. ;带我去见你的主
CombatE1N1RE1;Notre roi, comme tu l'appelles, est tout autour de nous, même en ton coeur, car il a créé ce paradis !;Can you not feel our Lord's embrace? He is all around us. He is in your own heart. We owe him everything.;你感受不到主的拥抱吗？他就在我们身边 他就在你的心中 我们欠他一切
CombatE1N1RJ2;Il n'y a pas de roi dans mon coeur, tu dois faire erreur, vieil homme.;You must be mistaken, old man. There is no lord in my heart.;你一定弄错了，老头 我心中没有主
CombatE1N1F1;Tu dis vrai, j'ai fait erreur, tu n'étais qu'un païen de plus.;Forgive me Lord for welcoming a Heretic into your hallowed halls. ;主啊，请原谅我把一个异教徒 迎进了您神圣的殿堂
CombatE1N1RJ3;Tes affirmations pourraient avoir des conséquences regrettables, tu devrais surveiller tes paroles.;You refuse our Lord's loving embrace. You will feel his wrath instead.;你拒绝了主爱的怀抱 你将感受到他的愤怒
CombatE1N1F2;Tu refuse l'amour du seigneur ?! Tu recevras donc son chatiment !;You refuse our Lord's loving embrace. You will feel his wrath instead.;你拒绝主爱的拥抱 你将感受到他的愤怒
CombatE1N1RJ4;On m'a dit qu'il fallait traverser cet endroit pour me réincarner, tu comprendras que je n'ai aucune envie de me reposer;I was told that the path back to my world would lead me through here. I cannot stop and rest, I must be on my way.;我被告知回到我的世界的路 会带我穿过这里 我不能停下来休息 我必须上路了
CombatE1N1RE2;C'est l'enfer qui t'attend si tu quittes ce paradis ! Quel imbécile choisirait de quitter un endroit si délicieux ?;It's hell that await you if you leave this paradise ! What fool would leave such a beautiful place ?You would forsake our Lord's paradise for the hellfire and damnation that awaits you outside? Surely you jest.;如果你离开这个天堂，等待你的将是地狱！哪个傻瓜会离开这么美丽的地方？ 你会为了外面等待你的地狱之火和诅咒而放弃主的天堂？你肯定是在开玩笑
CombatE1N1RJ5;Délicieux ? Il pue la chaire calcinée ton paradis.;Paradise? Your hallowed halls reek of burnt flesh.;天堂？你神圣的殿堂散发着烧焦的肉味
CombatE1N1RJ6;J'ai fait plus de guerres que tu n'a de doigts pour les compter, ton enfer ne m'effraie pas, vieil homme.;I've bled and suffered through a hundred wars. A little hellfire won't stop me.;我经历过上百次战争的流血和痛苦 一点地狱之火也阻止不了我
CombatE1N1F3;Si tu tiens tant à souffrir, voici un avant goût de ce qui t'attend.;Who am I to keep you from your suffering. Here is a little taste, as a parting gift.;我有什么资格阻止你受苦呢？这里有一点味道 作为临别礼物
CombatE1N1F4;Préserver la pureté de ce lieu nécessite des sacrifices, tu n'en seras qu'un de plus.;If you won't stay here as a guest. You will rest here as a corpse. Our Lord welcomes your sacrifice.;如果你不愿意留在这里做客 你将在此长眠 我们的主欢迎你的牺牲
CombatE1N2I;Eh toi ! T'as vraiment l'air très fort ! Viens avec nous, on aura plus à avoir peur des autres si tu nous rejoins !;Traveller! That's a big knife. You come with us and we won't be afraid no more. You are our Big Knife Man now.;旅行者 那是把大刀 你跟我们走 我们就再也不怕了 你现在就是我们的大刀侠了
CombatE1N2RJ1;Vous rejoindre ? Qui ca vous ? Et vous êtes combien ? Parce que j'ai pas besoin de boulets, je me débrouille très bien tout seul.;What? There is no us. I work alone. I don't need you runts weighing me down.;什么？没有 我们 我独自行动 我不需要你们这些侏儒来拖累我
CombatE1N2RE1;Maintenant, on est plus que trois, le maitre, ma soeur et moi. Mais tant qu'on reste ensemble on survivra, c'est le maitre qui le dit !;It's just my Master, my sister and I. There were others but… anyway, If we stick together, we will survive. I know this. The Master has spoken it.;只有我师父、我妹妹和我 还有其他人，但... 总之，只要我们团结一致，就能活下去 这我知道 主人已经说过了
CombatE1N2RJ2;En regardant ton maitre, je ne vois ni un homme, ni un protecteur. Alors bonne chance gamine. Maintenant hors de mon chemin;Your Master is neither man nor protector. Run along runt, I have nothing else to say to you. Scram.;你的主人既不是人 也不是保护者 走吧，矮子，我没话跟你说了 滚开
CombatE1N2F1;Je ne suis pas là pour survivre petite, mais pour avancer. Tu ne peux pas me suivre, même avec la meilleure volonté du monde. Retourne auprès de ta soeur.;I'm no tourist or villager. I don't intend to settle here. I go where you cannot follow. Return to your sister.;我不是游客或村民 我不打算在这里定居。我去你跟不上的地方 回到你姐姐身边
CombatE1N2RJ3;Je vais le dire au maître ! Et il va pas être content, ça tu peux en être certain !;Please Big Knife Man, you will make the Master angry. ;大刀客，你这样会惹师父生气的
CombatE1N2F2;Maître maître ! La grosse brute vient de me pousser ! Il doit être puni !;Master, he pushed me! Punish him!;师父，他推我 罚他
CombatE1N2RJ4;Comment ca les autres? Pour moi, vous êtes tous  les autres. Vous m'inspirez aucune confiance;Others? You could join them in whatever twisted afterlife they've found themselves in, I could care less. ;其他人呢？你可以跟他们一起去死 我才不管呢
CombatE1N2RE2;Moi aussi le maître me faisait peur au début tu sais, mais depuis qu'il ma recueillie on forme une grande famille. Tu pourrais y trouver ta place !;The Master can seem scary at first but you just have to let him welcome you. Become a part of our family Big Knife Man.;主人一开始看起来很可怕，但你必须让他欢迎你。成为我们大家庭的一员吧 大刀客
CombatE1N2RJ5;J'ai déjà une famille où se trouve ma place. Tout ce que tu fais c'est m'empêcher d'aller la retrouver;I have a family waiting for me and every second I waste on you keeps me from them.;我有家人在等我 我在你身上浪费的每一秒 都会让我远离他们
CombatE1N2RJ6;S'il est ton maître, vous n'êtes pas une famille, juste des esclaves. Arrête de rêver petite. ;What family has a master? You are nothing but slaves. ;哪个家庭会有主人？你们不过是奴隶
CombatE1N2F3;Si tu refuses de nous rejoindre, c'est que tu es avec les autres. Tu n'es plus le bienvenu.;Big Knife Man, you are evil like the rest. You cannot be a part of our family.;大刀客，你和其他人一样邪恶 你不能成为我们家的一员
CombatE1N2F4;Tu dis n'importe quoi ! Le maître m'aime pour de vrai ! Je te laisserai pas dire ça de lui !;Master loves us. Master loves us truly. You are bad Big Knife Man, you are very bad indeed.;主人爱我们 主人真心爱我们 你很坏 大刀客 你真的很坏
CombatE1N2RJ7;Si tu veux vraiment survivre, tu peux venir avec moi, mais essaye de pas me gener. Par contre, hors de question que le démon derrière toi vienne aussi.;If you brats want to survive you can follow me. That sickening demon of shadow and bone can keep its distance before I slay it.;如果你们这些小鬼想活命，可以跟着我。在我杀死那个令人作呕的骨影恶魔之前，你们最好离它远点。
CombatE1N2RE3;Mais c'est pas un démon, c'est le maître ! Le maître est bon avec nous. Le maître sait ce qu'il nous faut.;Demon? That is our Master. Master is Good. Master is True. Master knows what we need.;恶魔？那是我们的主人 主人是善的 主人是真 主人知道我们需要什么
CombatE1N2RJ8;Je vois que tu possèdes déjà son esprit, asura, Mais ce sera le dernier enfant sur lequel tu auras apposé ta marque !;These are no children. They are mere shells that you speak through. Wretched devil, how many more kids will you consume before you are stopped!;他们不是孩子 他们只是你借以说话的躯壳 可恶的魔鬼 你还要吃掉多少孩子 才能阻止你？
CombatE1N2RJ9;Ecarte toi gamine ! Toi qui souhaite tant survivre, je te conseille de pas interférer.;Stay back brat. If you want to survive, you'll keep out of this.;退后，臭小子 如果你想活命 就别管这事
CombatE1N2F5;Non ! Arrêtez ça ! Ne vous en prenez pas au maître ! JE dois protéger le mai...;No! Master is Good. I will protect Master. Master is True. I will protect Master. ;不 师父是好人 我会保护师父 师父是真 我会保护师父
CombatE1N2F6;Comment oses-tu donner des ordres à mes larbins !? Tu aurais mieux fait d'accepter ma proposition intiiale, étranger !;Tch Tch Tch, you could have been a part of our loving family traveller. Now my children will play with your corpse.;啧啧啧 你本可以成为我们温馨大家庭的一员 旅行者 现在我的孩子们要和你的尸体玩耍了
CombatE1C1I;J'avoue que j'ai été un peu dur avec toi, si on veut vraiment parler de déceptions de la famille, en voila une belle !;And here I thought you were a blight on our family name but look here! It's your son, who has far surpassed you in that regard. What a dissapointment.;我还以为你是我们家族的污点 但看看这里 是你的儿子，他在这方面远远超过了你。真让人失望
CombatE1C1RJ1;Encore une voix que je me serrais bien passé d'entendre à nouveau. Tu aurais dû rester mort, vieillard.;Hearing your voice again is one more time than I needed. You should have stayed dead, you old prune.;再次听到你的声音已经超出了我的需要 你应该死了才对 你这个老顽固
CombatE1C1RE1;Je t'interdis de manquer de respect à ton grand père ! C'est l'un des hommes sans qui notre nom ne vaudrait rien, modère tes paroles !;Stay your tongue whelp! That is your grandfather. You are nothing without his name.;少废话 那是你爷爷 没有他的名字，你什么都不是
CombatE1C1RJ2;HA ! Certes il a mérité le respect, mais parce que tout le monde le craignait, même sa propre famille;His name? I can do without that cursed name. It is nothing but a rag soaked in fear pretending to be a shawl.;他的名字？我可以不要那个被诅咒的名字 它只不过是一块被恐惧浸透的破布 假装是披肩而已
CombatE1C1RJ3;Tu me fais de la peine. Même après  tout ce temps, tu continues de baiser les pieds de ton bourreau;I pity you father. Even now, centuries later, you run to him like a puppy and lick his sordid feet.;我可怜你的父亲 即使在几百年后的今天，你还像小狗一样跑到他身边，舔他肮脏的脚。
CombatE1C1F1;Tu sembles avoir oublié les raisons que tu avais de me craindre. Je vais te rafraichîr la mémoire, petit impertinent.;You forget yourself. Perhaps I need to drown you in the very fear you dismiss so casually.;你忘了自己 也许我需要把你淹没在 你随随便便就能忽视的恐惧中
CombatE1C1F2;Tu fais preuve de bien trop d'insolence en t'adressant à ton père. Je vais devoir te remettre à la place qui est la tienne.;You dare talk to your father like that? I must remind you of what happens to insolent curs who can't heel.;你竟敢这样跟你父亲说话？我得提醒你，傲慢无礼又不听话的人 会有什么下场。
CombatE1C1RJ4;Une déception ? J'aimerais bien savoir qui à tes yeux n'en est pas une, toi qui a tout vu, tout fait, le grand conquérant ! Qui peut satisfaire tes ambitions ?;A disappoinment? Oh great conqueror you are. You made your enemies tremble when you were alive and now they spit on your grave. You built a kingdom on fear and nothing else.;失望吗？你是伟大的征服者 你活着的时候让你的敌人胆战心惊 现在他们却唾弃你的坟墓 你把王国建立在恐惧之上，别无其他。
CombatE1C1RE2;J'espérais que ta descendance relèverais le niveau, mais tu n'as même pas été capable d'avoir un hérétier. Encore une belle façon de t'illustrer.;And whose fault is that? You were supposed to be the greatest of all but here you are, weak and spineless. You couldn't even birth an heir. You aren't worthy of my legacy. ;这是谁的错？你本该是最伟大的人 但你现在却软弱无能 你甚至生不出一个继承人 你不配继承我的遗产
CombatE1C1RJ5;A t'entendre on dirait que ma fille n'a même pas existé. C'est logique:  tu n'as jamais daigné retenir son prénom. Elle n'aurait jamais pu accéder au trône, mais est ce que ça m'a empêcher d'être fier d'elle ? Pas un seul instant.;I birthed a daughter who is worth a thousand of you. She is certainly worth a lot more than me. She is perhaps the first of our accursed name that made me proud of it.;我生的女儿比你强多了 她肯定比我值钱多了 她也许是我们这个被诅咒的姓氏中 第一个让我感到骄傲的人
CombatE1C1RJ6;Même ça tu voulais le contrôler ? Choisir ce que je devais devenir et mon rôle n'a pas suffit ? Aucune de mes actions ne m'appartient, c'est ça ?;I was supposed to be the greatest? Was my fate written before I was born? Even that did you try to control? Were any of my actions and choices my own?;我本该是最伟大的？我的命运在我出生之前就已经注定了吗？就连这也是你想控制的吗？我的任何行为和选择都是我自己的吗？
CombatE1C1F3;Tu es fier d'elle ? Attend de voir ce qu'elle est devenue, tu vas vite ravaler ta fierté, Mais avant ça, ce que tu vas avaler, c'est tes dents !;You're proud of that? You're in for a surprise then. You're even more far gone than I thought and you need to be retrained.;你以此为荣？那你就大吃一惊了 你比我想象的还要堕落 你需要重新接受训练
CombatE1C1F4;Tu avais le choix : cet héritage que tu as échoué à transmettre c'était des centaines d'années d'histoire. Tu as préféré te rebeller. Tes actes t'appartiennent et tu vas faire face à leur conséquences;You are an entitled brat to think that your life was ever just your own. Our forefathers didn't build an empire to last a thousand years for you to come along and dash it to the ground.;你是个有权有势的小鬼，以为你的生活只属于你自己。我们的祖先建立了一个延续千年的帝国 不是为了让你来把它夷为平地的
CombatE1C2I;Eh, guerrier, viens voir ! Dis leur toi, on fait presque le même métier, on est d'accord ?;Ay Warrior, Come here. We're in the same line of work, you and I. Don't you love the smell of blood?;勇士 过来 我们是同行 你不喜欢血腥味吗？
CombatE1C2RJ1;Tu devrais tenir ta langue si tu ne veux pas que je te la coupe. Plus qu'un conseil, c'est un ordre.;Shut your mouth or I'll shut it for you.;闭上你的嘴，不然我让你闭嘴
CombatE1C2RE1;Ah ben vous voyez, lui aussi il aime couper de la viande ! Si tu veux ma langue, vient la chercher, je suis déjà mort, qu'est ce que tu pourrais faire de plus ?;Oh you're so scary. Look at me, I'm shivering. Fuck off. I'm already dead, anything else you do is quite literally overkill.;你真可怕 看着我 我在发抖 滚开 我已经死了 你再做什么都是矫枉过正
CombatE1C2RJ2;Si tu n'a pas appris le respect de ton vivant, et que la mort n'a rien arrangé, autant écourter ton séjour ici. ;Looks like no one taught you respect. You have a foul mouth.;看来没人教你尊重别人 你嘴巴真臭
CombatE1C2RJ3;Même morts, nous ne venons pas de la même caste. Ici comme ailleurs, nous devons garder notre place, et tu sembles avoir oublié celle qui est la tienne.;You forget yourself. You forget your place. We are not the same.;你忘了你自己 你忘了你的位置 我们不一样
CombatE1C2F1;J'ai plié le dos toute ma vie, compte sur moi pour rester fier dans la mort. Viens, guerrier, on va régler ça d'homme à homme.;I spit on your respect and your place. All my life I've bent the knee to people like you. Here, my knife will cut just as deep as yours. Let us settle this, as equals.;我唾弃你的尊重和地位 我一生都在向你这样的人屈膝投降 在这里，我的刀会和你的一样锋利 让我们平等地解决这件事
CombatE1C2F2;Tu aimerais que ce soit le cas, toi qui es né sous une bonne étoile. Mais ici, ce n'est pas en dalits que je me tiens devant toi, mais en homme libre.;You Highborn fool. You who was born with a silver spoon rammed up your arse. In death, we are the same and when I spill your blood, it will bleed red like mine.;你这个天生的傻瓜 你这个一出生就被银汤匙塞满屁股的人 死后我们是一样的 当我让你流血时 你的血也会像我一样鲜红
CombatE1C2RJ4;Comment peux-tu imaginer comparer ce que nous faisons ? ça n'a rien à voir !;We are not the same! And you are a fool to think so.;我们不一样 你这么想就太傻了
CombatE1C2RE2;C'est pourtant simple: on découpe tous les deux de la viande. La seule différence, c'est que tu tranches de la viande vivante et dont personne ne profitera.;We both carry big knives and we cut through flesh. At least I feed people. When have you ever helped someone with that knife of yours?;我们都带着大刀，都能割肉 至少我给人吃的 你什么时候用你的刀帮助过别人？
CombatE1C2RJ5;Cette viande vivante dont tu parles, c'est celle des guerriers entraînés qui attaque notre peuple. Voila pourquoi je fais mon devoir en vous protégeant, bande d'ingrats !;I cut through enemies that would take the land you live on. I'm the reason you even had a chance to live your sorry excuse of a life in peace.;我切开的敌人会夺走你赖以生存的土地 是我让你有机会过上平静的生活
CombatE1C2RJ6;Tu ose comparer ton misérable établi avec la résponsabilité de mener nos soldats à la bataille pour ptogéger vos existences insiginifiantes ? C'en est trop, tu aurais dû réfléchir avant de parler ainsi.;You compare your miserable butchery to the work of a king? Have you led soldiers into battle? Have you had to make decisions that would change the face of the world? You are a gnat, a mosquito, an ant beneath my feet.;你把自己悲惨的屠戮比作国王的工作？你带领士兵上过战场吗？你做出过改变世界面貌的决定吗？你是我脚下的蝼蚁、蚊子、蚂蚁。
CombatE1C2F3;Tu penses que je ne sais pas me défendre ? Allez, viens, je vais te montrer.;Peace? A wretched peace it was. Watching my children starve and get beaten as they walked in the streets while you rot in your palaces. You know nothing outside your walls.;和平？那是可悲的和平。看着我的孩子在街上挨饿挨打，而你们却在自己的宫殿里腐烂。你们对墙外一无所知
CombatE1C2F4;Je dis les choses comme je les pense et je suis prêt à en assumer les conséquences. Je n'ai plus peur de la mort désormais.;I wonder when I slit your mighty throat, if you'll struggle like a fat goat. How the mighty fall.;我想知道当我割断你强大的喉咙时 你是否会像肥羊一样挣扎 强者如何陨落
CombatE1B1I;Halte, âme mortelle ! Par delà cette porte se trouvent les royaumes infernaux et défendus. Rebrousse chemin tant que tu le peux encore !;Halt Mortal. This is the door to the Kingdom of Damnation. Turn back while you still can!;停下，凡人 这是通往诅咒之国的大门 趁你还能回头
CombatE1B1RJ1;Excuse moi gardienne, mais on m'a dit que mon salut et mon devoir étaient de passer au-delà de cette porte, je vais donc te demander de me laisser passer.;Step aside Guardian, my journey takes me through here and I must pass. Let me be.;靠边站 守护者 我的旅程要经过这里 我必须过去 让我过去吧
CombatE1B1RE1;Pauvre innocent ! Tu as été induit en erreur ! Le diable t'a murmuré ses tentations, et toi, brebis égarée, tu l'as cru, te jetant dans la gueule du loup de toi même ! Je ne te laisserais pas te damner ainsi !;Fool! The Devil has seduced you. Do not believe his lies. Turn back while you still can. ;傻瓜 魔鬼引诱了你 不要相信他的谎言 趁你还能回头
CombatE1B1RJ2;J'ignore qui est ce diable dont tu parles, mais je sens en mon âme que la réponse ne se trouve pas ici. Personne ne me manipule, je suis maitre de mon propre destin, et il est derrière toi, gardienne !;All of you with your Devils and Lords can fuck off. I have a duty in the land of the living and if the path to it is behind you then I will not be kept from it. Move or be moved.;你们这些恶魔和领主都可以滚蛋了 我在生者之地有我的职责 如果通往生者之地的路就在你们身后 我不会被阻挡的 要么走，要么被赶走
CombatE1B1RJ3;Je me moque de ton dieu et de ton diable comme d'une guigne ! Si même eux ne peuvent pas m'arrêter, je doute que tu le puisses ! Hors de mon chemin !;Where is this devil? Where is your Lord? I have seen neither. Perhaps they don't exist. Perhaps you should get out of my way.;魔鬼在哪里？你的主在哪里？我都没见过 也许他们根本不存在 也许你该让开
CombatE1B1F1;Le Seigneur m'a conduit de sa mission divine, m'interdisant de laisser les âmes égarées se perdre face au Malin ! Je suis le bras armé du Seigneur et ma mission est irrévocable, dussé-je te forcer à rester ici contre ton gré !;I'm the arm of our Lord. I cannot stand idly by while a soul damns itself.  I shall stop you here, by force if I need to.;我是上帝的臂膀 我不能袖手旁观 看着灵魂自取灭亡 我会在这里阻止你 必要时我会用武力
CombatE1B1F2;Tu oses blasphemer devant moi ?! Je devrais t'envoyer dans les torrents infernaux pour te châtier ! Sois tu sot ou téméraire, je prie pour que le Seigneur soit miséricordieux avec ton âme, car je vais te renvoyer à lui ! ;May the Lord forgive you your blasphemies. I will send your wretched soul to him right now.  ;愿上帝宽恕你的亵渎。我现在就把你可悲的灵魂送去见他
CombatE1B1RJ4;Ton enfer ne me fait pas peur rien ne pourra être pire que les batailles que j'ai affronté. Ecarte toi, je suis déja prêt.;I've been through enough hell when I was alive. What's a little more? How hard can it be?;我活着的时候经历的地狱够多了 再多一点又如何？能有多难？
CombatE1B1RE2;Ton ignorance n'est que malice, tu ne sais rien des combats que nous avons mené ! Nous nous sommes battus sans relâche pour faire de cet endroit ce qu'il est aujourd'hui, à la gloire du Seigneur ! Je ne te laisserais pas passer !;You are ignorant. You are foolish. Our Lord have mercy on your soul. I will not let you pass little lamb. We have worked far too hard to make this place the way it is now. ;你太无知了 你太愚蠢了 愿主怜悯你的灵魂 我不会让你通过的 小羔羊 我们付出了太多的努力 才让这里变成现在这个样子
CombatE1B1RJ5;Mais bon sang, pourquoi ?! Passer ou rester ne concerne que moi ! Je ne vous laisserais pas m'empecher d'accéder à ma nouvelle vie !;If you do not let me continue my journey then I will have to treat you as an obstacle and hurdle. If you're in my way, you will be destroyed.;如果你不让我继续我的旅程 那我就只能把你当成障碍和绊脚石了 如果你挡了我的路，你就会被毁灭。
CombatE1B1RJ6;Attendez, n'est-ce pas ici le domaine des dieux, infini, immuable et éternel ? Avez vous osé l'altérer ? Pourquoi ?!;You worked hard to make God's paradise the way it is now? Was your Lord too weak and stupid to do it himself?;你辛辛苦苦把上帝的乐园变成了现在这个样子？难道你的主太软弱、太愚蠢，不能亲自动手吗？
CombatE1B1F3;Si tu venais à descendre, tu disparaitrais et ton âme enfournée les renforcerait encore plus, que tu le veuilles ou non ! Ignorance ou Inconscience ne sont point vertu, je garderais cette voie ! Seigneur guidez ma lame, et qu'il disparaisse de ma vue !;I tried to reason with you but you are beyond help. Your blasphemies have rendered you beyond saving. You are worth nothing as you are, maybe your sacrifice will redeem you in some way. Lord, guide my blade as I send you another offering.;我试着跟你讲道理，但你已经无能为力了。你的亵渎已经让你无可救药。你现在一文不值 也许你的牺牲能让你得到救赎 主啊，请指引我的刀锋，让我为你献上另一份祭品。
CombatE1B1F4;Ignorant ! Cet endroit était un champ de ruine avant ! Nous nous sommes battus pour ce sol sacré et avons restauré la présence de Dieu en ces lieux ! A présent, Seigneur guidez ma lame, aidez moi à protéger ce qui est votre !;You know not what you have said or who you have insulted. You are worth nothing as you are. O Lord, guide my blade as I send you another offering.;你不知道自己说了什么，也不知道自己侮辱了谁。你一文不值。主啊，请指引我的刀锋，我将为你献上另一份祭品。
